filename,clot
6M02_06.05.2022_15.20.56_2.0x-res300-w1.png,False
R2-S2-2021-06-21T12-17-48_2.0x-res300-w1.png,True
R1-S22-2021-06-21T12-10-22_2.0x-res300-w2.png,True
R2-S8-2021-06-21T12-25-24_2.0x-res300-w1.png,False
R1-S17-2021-06-21T12-04-00_2.0x-res300-w1.png,False
R1-S21-2021-06-21T12-09-14_2.0x-res300-w2.png,True
R1-S14-2021-06-21T12-00-14_2.0x-res300-w2.png,True
R1-S19-2021-06-21T12-06-26_2.0x-res300-w1.png,True
5M23_06.05.2022_15.08.59_2.0x-res300-w1.png,True
R2-S7-2021-06-21T12-24-18_2.0x-res300-w1.png,False
R2-S14-2021-06-21T12-32-48_2.0x-res300-w1.png,True
6M03_06.05.2022_15.24.15_2.0x-res300-w1.png,True
R1-S23-2021-06-21T12-11-54_2.0x-res300-w1.png,True
R1-S25-2021-06-21T12-14-49_2.0x-res300-w2.png,True
5M18_06.05.2022_14.53.40_2.0x-res300-w1.png,True
R2-S13-2021-06-21T12-31-23_2.0x-res300-w1.png,True
R1-S16-2021-06-21T12-02-45_2.0x-res300-w1.png,False
6M02_06.05.2022_15.20.56_2.0x-res300-w2.png,False
R2-S20-2021-06-21T12-40-42_2.0x-res300-w1.png,True
R2-S5-2021-06-21T12-21-45_2.0x-res300-w2.png,False
5M17_06.05.2022_14.50.17_2.0x-res300-w2.png,True
5M20_06.05.2022_15.00.52_2.0x-res300-w2.png,True
R1-S23-2021-06-21T12-11-54_2.0x-res300-w2.png,True
R2-S17-2021-06-21T12-36-53_2.0x-res300-w1.png,True
R2-S12-2021-06-21T12-30-10_2.0x-res300-w1.png,True
R1-S16-2021-06-21T12-02-45_2.0x-res300-w2.png,False
5M21_06.05.2022_15.03.17_2.0x-res300-w2.png,True
R2-S12-2021-06-21T12-30-10_2.0x-res300-w2.png,True
R1-S25-2021-06-21T12-14-49_2.0x-res300-w1.png,True
R2-S10-2021-06-21T12-27-46_2.0x-res300-w1.png,True
R2-S11-2021-06-21T12-28-54_2.0x-res300-w1.png,True
R1-S15-2021-06-21T12-01-29_2.0x-res300-w1.png,False
R2-S11-2021-06-21T12-28-54_2.0x-res300-w2.png,True
R1-S20-2021-06-21T12-07-59_2.0x-res300-w1.png,True
R2-S7-2021-06-21T12-24-18_2.0x-res300-w2.png,False
5M18_06.05.2022_14.53.40_2.0x-res300-w2.png,True
R2-S3-2021-06-21T12-19-12_2.0x-res300-w1.png,False
R2-S5-2021-06-21T12-21-45_2.0x-res300-w1.png,False
R1-S18-2021-06-21T12-05-15_2.0x-res300-w2.png,True
R2-S2-2021-06-21T12-17-48_2.0x-res300-w2.png,True
R1-S20-2021-06-21T12-07-59_2.0x-res300-w2.png,True
5M19_06.05.2022_14.57.46_2.0x-res300-w1.png,True
R2-S15-2021-06-21T12-34-16_2.0x-res300-w2.png,True
R2-S13-2021-06-21T12-31-23_2.0x-res300-w1_2.png,True
5M25_06.05.2022_15.15.10_2.0x-res300-w1.png,True
R1-S19-2021-06-21T12-06-26_2.0x-res300-w2.png,True
R2-S4-2021-06-21T12-20-27_2.0x-res300-w2.png,True
R1-S17-2021-06-21T12-04-00_2.0x-res300-w2.png,False
5M15_06.05.2022_14.42.56_2.0x-res300-w2.png,True
R1-S15-2021-06-21T12-01-29_2.0x-res300-w2.png,False
R2-S13-2021-06-21T12-31-23_2.0x-res300-w2.png,True
R2-S17-2021-06-21T12-36-53_2.0x-res300-w2.png,True
R2-S9-2021-06-21T12-26-37_2.0x-res300-w1.png,True
R2-S9-2021-06-21T12-26-37_2.0x-res300-w2.png,True
R2-S6-2021-06-21T12-23-03_2.0x-res300-w1.png,True
R2-S14-2021-06-21T12-32-48_2.0x-res300-w2.png,True
5M24_06.05.2022_15.12.06_2.0x-res300-w1.png,True
R1-S18-2021-06-21T12-05-15_2.0x-res300-w1.png,True
6M01_06.05.2022_15.18.23_2.0x-res300-w1.png,False
5M15_06.05.2022_14.42.56_2.0x-res300-w1.png,True
R1-S22-2021-06-21T12-10-22_2.0x-res300-w1.png,True
